name,externalid,lat,long
TSK-ZAT-Barrandovský most západ,500473,50.04059832165129,14.405775245911308
TSK-ZAT-Křižovatka Radlická-Zlíchovské přemostění,500401,50.06304276082847,14.405625242361317
TSK-ZAT-PORTÁL SEVER,500405,50.0508452025627,14.407942651360019
TSK-ZAT-Přemostění ATM-ZAT 1,500403,50.05655665043385,14.407019678856289
TSK-ZAT-Přemostění ATM-ZAT 2,500404,50.05337331751987,14.407691913696434
"TSK-ZAT-Přemostění ATM-ZAT KM 12,776",500402,50.059381650619414,14.406366907983477
"TSK-ZAT-Přemostění ZAT-ATM 12,776",500434,50.06065340462943,14.40633047143611
TSK-Zelený ostrov,500103,50.102782430741755,14.495014770886941
TSK-Újezd,500509,50.081084430641525,14.404411350655455
TSK-Českomoravská-Freyova 1. (Harfa),500104,50.101706976238034,14.502863072839004
TSK-Českomoravská-Freyova 2. (Harfa),500105,50.10168739474631,14.50291238878429
TSK-Řásnovka-Štefánikův most,500049,50.09301283529213,14.427444603442527
TSK-Špejchar,500075,50.0979988375014,14.410558937213617
TSK-Špejchar-smyčka tramvají,500074,50.097828788002445,14.407401673535034
U Vršovického hřbitova směr Vršovice UMR,VB-VR,50.063974,14.469384
V Holešovičkách směr z centra,HT-TP,50.117744,14.455297
Zálesí směr Jižní spojka MOR,ZA-JS,50.024405,14.442225
Zálesí směr Novodvorská MOR,ZA-NO,50.024548,14.442314
Ústecká z centra,US-VL,50.13653000000001,14.45268
Černokostelecká-Průmyslová,,50.071353838526875,14.537315368652344
Čidlo 1-Barrandov,531801,50.03993,14.405042
Čidlo 1-Nuselský most,531851,50.054,14.527
Čidlo 10-Jižní spojka/Bráník,531860,50.03542,14.40828
Čidlo 10-Lahovice,531810,49.994545,14.397537
Čidlo 11-Evropská,531811,50.09355,14.304239
Čidlo 11-Jižní spojka/Krč,531861,50.03797,14.45631
Čidlo 12-Jižní spojka/Záběhlická,531862,50.054,14.527
Čidlo 12-Novopacká,531812,50.12508,14.614628
Čidlo 13-Aviatická/Ruzyně,531863,50.054,14.527
Čidlo 13-Vídeňská,531813,49.995377,14.487074
Čidlo 14-Jižní spojka/Černokostelecká,531864,50.054,14.527
Čidlo 14-Mitas,531814,50.061203,14.50805
Čidlo 15-Opatovská/Háje,531865,50.054,14.527
Čidlo 15-Vysočanská,531815,50.113033,14.4971485
Čidlo 16-Kamýcká,531816,50.13843,14.365521
Čidlo 16-Poděbradská/Hloubětín,531866,50.054,14.527
